ahkr201,Praksis i arbeidslivet
nor-u3nn,"Kurs i norsk språk og kultur for framandspråklege studentar, nynorsk, trinn 3"
nor-u4,"Kurs i norsk språk og kultur for framandspråklege studentar, trinn 4"
norainf903,Geometrisk djup læring
noran101,Norsk språk som andrespråk 
noran104,Andrespråkslæring og -undervising
noran105,Fonologi og grammatikk i andrespråksperspektiv
noran106,Tekstlingvistikk og pragmatikk i andrespråksperspektiv
noran107,Fleirspråklegheit i sosiolingvistisk perspektiv
noran109,Testing og vurdering av språkferdigheiter
noran124,Andrespråkslæring og -undervisning 
noran204-l,Andrespråkslæring- og undervisning for integrert lektorutdanning
noran250,Andrespråkslingvistikk med bacheloroppgåve
noran320,Særemne i norsk som andrespråk
noran602,Norsk som andrespråk (nettstudium)
noran604,Andrespråkslæring og -undervisning
noran609,Testing og vurdering av språkferdigheiter
nord100,Innføring i nordistikk
nordkurs,Nordisk sommarkurs i norsk språk og litteratur
nored900,Litteraturreview på ph.d-nivå
nored901,"Writing the Synopsis in a Doctoral Thesis
"
nored902,Forskingsetikk
nored903,Mixed Method Research
nored904,Introduction to Meta Analysis
nored905,"Analyse, etikk og refleksivitet i kvalitativ forsking"
nored906,Academic writing: How to write scientific articles in educational research 
nored907,The use of theory within educational research
nored908,Qualitative research with NVivo 
nored909,Qualitative case study research 
nored910,Evidensbasert praksis og profesjonsutøving ¿ kritiske perspektiv
nored911,Kvalitativ metasyntese
nored912,Introduction to Systematic Review on PhD-level
nored913,Educational Leadership in the Face of Global Threats
nored913b,Educational Leadership in the Face of Global Threats
nored914,"Styring og politikk i utdanning, analytiske innganger og rammeverk"
nored914b,"Styring og politikk i utdanning, analytiske innganger og rammeverk"
nored915,Inclusion and diversity
nored915b,Inclusion and diversity
nored916,Education dilemmas in forced displacement
nored916b,Ethical Dilemmas in Global Refugee Education
nored917,Kvalitativ forskning
nored917b,Kvalitativ forskning
nored918,Kritisk og praksisorientert danningsforskning
norheart901,Hjerteavbilding i forskning
normau641,Språkkunnskap for erfaringsbasert master i undervisning
normau642,Litteraturteori og metode for erfaringsbasert master i undervisning
normau643,Norsk fagdidaktikk for master i undervisning
normau644,"Fellesemne: Profesjon, refleksjon og erfaringsdeling"
normau650,Erfaringsbasert masteroppgåve i undervisning med fordjupning i norsk
normau651,"Fellesemne: Profesjon, refleksjon og erfaringsdeling"
normau655,Erfaringsbasert masteroppgåve i undervisning med fordjuping i norsk
norsk621,Nordisk litteratur 1: Tekstkunnskap og sjangerforståing
norsk622,Nordisk språk 1: Moderne språk
norsk623,Nordisk språk 2: Språkhistorie og talemål
norsk624,Nordisk litteratur 2: Teksthistorie og kulturutvikling
norsku-02,"Sommarkurs i norsk språk og kultur, trinn 2"
norsku-03,"Sommarkurs i norsk språk og kultur, trinn 3"
norsku-04,"Sommarkurs i norsk språk og kultur, trinn 4"
nosp102-f,Nordisk: Moderne språk (Fjernord)
nosp103-f,Nordisk: Språkhistorie og talemål (Fjernord)
nosp104,Nordisk: Språksystem og språkbruk
nosp105,Nordisk: Språkhistorie og talemål
nosp106,Nordisk: Den nordiske språkgreina
nosp216,Nordisk: Språkleg fordjupingsemne A
nosp217,Nordisk: Språkleg fordjupingsemne C
nosp218,Nordisk: Språkleg fordjupingsemne D
nosp256,Nordisk: Språkleg fordjupingsemne A med BA-oppgåve
nosp256-l,Nordisk: Språkleg fordjupingsemne med BA-oppgåve
nosp257,Nordisk: Språkleg fordjupingsemne B med BA-oppgåve
nosp312,Nordisk: Språkleg masteremne A
nosp313,Nordisk: Språkleg masteremne B
nosp315,Nordisk: Språkleg masteremne C
nosp316,Nordisk: Språkleg masteremne D
nosp320,Nordisk: Språkleg særemne
nucli352,Medisinsk ernæringsbehandling av born og unge
nucli356,Klinisk praksis i spesialisthelsetenesta
nucli357,Medisinsk ernæringsbehandling av vaksne
nucli390a,Masteroppgåve i klinisk ernæring - forskingsprotokoll
nucli390b,Masteroppgåve i klinisk ernæring
nutr100,Innføring i klinisk ernæring
nutr115,Ernæringsbiokjemi
nutr150,Matvarekunnskap
nutr203,Ernæringsfysiologi - makronæringsstoffer
nutr204,Ernæringsfysiologi - mikronæringsstoffer
nutr230,Metodar i ernæringsforsking
nutr244,Ernæring og helse på individ- og samfunnsnivå
nutr248,Innføring i medisinsk ernæringsbehandling
nutr249,Klinisk praksis i primærhelsetenesta
nutr290,Bacheloroppgåve i ernæring
nutrana,Menneskets anatomi 
nutrfys,Menneskets fysiologi
od1intro,Introduksjonskurs i odontologiske fag
od1orbi,Oral biologi del 1
od2ana,Anatomi
od2bm,Biomaterialer
od2fys,Menneskets fysiologi
od2kario,Ferdighetskurs del 1: Kariologi
od2mikr,Mikrobiologi
od2orbi,Oral biologi del 2
od2patim,Generell patologi og immunologi
od2perio,"Periodonti, ferdigheitskurs"
od2ront,Kjeve- og ansiktsradiologi
od3barn,Ferdigheitskurs pedodonti
od3endo,Ferdighetskurs endodonti
od3endod,Ferdighetskurs endodonti
od3farma,Farmakologi
od3kario,Kariologi + klinikk
od3kjeve,Ferdigheitskurs kjeveortopedi
od3kliforb,Klinikkførebuing
od3mast,Plan for masteroppgave
od3perio,Periodonti + klinikk
od3prot,Ferdighetskurs del 2: Protetikk
od3ront,Kjeve- og ansiktsradiologi
od4barn,Pedodonti + klinikk
od4barn1,Ferdigheitskurs pedodonti
od4barn2,Pedodonti + klinikk
od4diagnos,"Diagnostikk, behandlingsplanlegging"
od4endo,Endodonti + godkjent klinikk
od4kjeve,Kjeveortopedi + klinikk
od4klin,Tverrfagleg godkjent klinikk
od4kos,Kjeve- og slimhinnelidingar 4. studieår
od4prot,Protetikk + klinikk
od4tema,"Tannbehandling, diverse tema"
od5int1,Studentutveksling
od5int2,Internasjonalt emne heime
od5klin1,Godkjend klinikk
od5klin2,"Godkjend klinikk, hospitering HUS og Tannlegevakta"
od5kos,Kjeve- og slimhinnelidingar 5. studieår
od5mast,Masteroppgåve
od5praksis,Praksisstudie i den offentlege tannhelsetenesta
od5sam,Samfunnsodontologi
od5tema,"Tannbehandling, diverse tema"
odbio901,Oral biologi
odfla902,Kurs i forløpsanalyse
odo-bioma06,Teoretisk støttekurs i odontologiske biomaterialer for den odontologiske vidareutdanninga
odo-embr06,Embryologi for den odontologiske vidareutdanninga
odo-farm06,Klinisk farmakologi
odo-forsk06,Kurs i forskningsmetode
odo-gen06,Genetikk for den odontologiske spesialistutdanningen
odo-genpa06,Generell patologi for den odontologiske videreutdanningen
odo-kp-se03a,"Klinisk praksis og seminar Endodonti, 3. semester på spes. utd."
odo-kp-se03b,"Klinisk praksis og seminar Periodonti, 3. semester på spes. utd."
odo-kp-se03c,"Klinisk praksis og seminar Protetikk, 3. semester på spes. utd."
odo-kp-se03d,"Klinisk praksis og seminar Kirurgi, 3. semester på spes. utd."
odo-kp-se03g,Klinisk praksis og seminar pedodonti 3. semester på spes.utd
odo-kp-se04a,"Klinisk praksis og seminar Endodonti, 4. semester på spes. utd."
odo-kp-se04b,"Klinisk praksis og seminar Periodonti, 4. semester på spes. utd."
odo-kp-se04d,"Klinisk praksis og seminar Kirurgi, 4. semester på spes. utd."
odo-kp-se05a,"Klinisk praksis og seminar Endodonti, 5. semester på spes. utd."
odo-kp-se05f,Klinisk praksis og seminar kjeve og ansiktsradiologi 5. semester på spes.utd
odo-kp-se06a,"Klinisk praksis og seminar Endodonti, 6. semester på spes. utd."
odo-kp-sem1,Klinisk praksis og seminar 1 semester på spes. utd
odo-kp-sem10,Spesialisteksamen i oral kirurgi og oral medisin
odo-kp-sem2,Klinisk praksis og seminar 2. semester på spes. utd.
odo-kp-sem3e,Klinisk praksis og seminar 3. semester på spes. utd. Kjeveortopedi
odo-kp-sem3f,Klinisk praksis og seminar kjeve og ansiktsradiologi 3. semester på spes.utd
odo-kp-sem3k,"Klinisk praksis og seminar Kariologi, 3. semester på spes. utd."
odo-kp-sem4c,"Klinisk praksis og seminar Protetikk, 4. semester på spes. utd."
odo-kp-sem4e,Klinisk praksis og seminar 4. semester på spes. utd. Kjeveortopedi
odo-kp-sem4f,Klinisk praksis og seminar kjeve og ansiktsradiologi 4. semester på spes.utd
odo-kp-sem4g,Klinisk praksis og seminar pedodonti 4. semester på spes.utd
odo-kp-sem4k,"Klinisk praksis og seminar Kariologi, 4. semester på spes. utd."
odo-kp-sem5b,"Klinisk praksis og seminar Periodonti, 5. semester på spes. utd."
odo-kp-sem5c,"Klinisk praksis og seminar Protetikk, 5. semester på spes. utd."
odo-kp-sem5d,"Klinisk praksis og seminar Kirurgi, 5. semester på spes. utd."
odo-kp-sem5e,"Klinisk praksis og seminar Kjeveortopedi, 5. semester på spes. utd."
odo-kp-sem5g,Klinisk praksis og seminar pedodonti 5. semester på spes.utd
odo-kp-sem5k,"Klinisk praksis og seminar Kariologi, 5. semester på spes. utd."
odo-kp-sem6b,Spesialisteksamen i periodonti
odo-kp-sem6c,Spesialisteksamen i oral protetikk
odo-kp-sem6d,"Klinisk praksis og seminar Kirurgi, 6. semester på spes. utd."
odo-kp-sem6e,Spesialisteksamen i kjeveortopedi
odo-kp-sem6f,Spesialisteksamen i kjeve- og ansiktsradiologi
odo-kp-sem6g,Spesialisteksamen i pedodonti
odo-kp-sem6k,"Klinisk praksis og seminar Kariologi, 6. semester på spes. utd."
odo-kp-sem7d,"Klinisk praksis og seminar Kirurgi, 7. semester på spes. utd."
odo-kp-sem8d,"Klinisk praksis og seminar Kirurgi, 8. semester på spes. utd."
odo-kp-sem9d,"Klinisk praksis og seminar Kirurgi, 9. semester på spes. utd."
odo-macr06,Hodet og halsens makroskopiske anatomi for den odontologiske videreutdanning
odo-micr06,Mikrobiologi og immunologi for spesialistutdanning i odontologi
odo-orpat06,Oral patologi for spesialistutdanning i odontologi
odo-ront106,Kurs i røntgen for spesialistutdanning i odontologi
odo-stat106,Generell statistikk
odo-stat206,Anvendt statistikk for den odontologiske videreutdanning
odors901,Seminarserie (forskerskule) i oral helse
orpat901,Diagnostisk oral patologi
ped110,Innføring i pedagogikk
ped111,Pedagogisk filosofi
ped112,Pedagogiske perspektiv på læring
ped113,Læring i og for arbeidslivet
ped115,Skulens læringsmiljø
ped116,Pedagogisk kompetanse
ped200,Education in a Changing Society
ped210,Vitskapelege metodar
ped212,Bacheloroppgåve i pedagogikk
ped311,Pedagogisk filosofi
ped312,Forskingsmetode
ped313,Kunnskap og kunnskapsprosessar
ped314,Fordjuping og prosjektplan
ped321,Pedagogisk filosofi
ped322,Forskningsmetode
ped323,Kunnskap og kunnskapsprosessar
ped324,Fordjuping og prosjektplan
ped395,Masteroppgåve i pedagogikk
ped396,Masteroppgåve i pedagogikk
ped600,Rettleiing som profesjonell utvikling for lærarar
ped641,Mentorutdanning - Rettleiing av nye lærarar
ped645,Innføring i kriminalomsorg som læringsarena
ped661,Skuleleiing
ped667,Pedagogisk rettleiing
ped668,Profesjonelt samarbeid om born og unge med minoritetsbakgrunn
ped670,Rettleiing innafor lærarprofesjonen
ped671,Rettleiing av lærarstudentar og nyutdanna lærarar
ped672,"Kollegarettleiing, skuleutvikling og profesjonsutvikling"
peda101,Praktisk pedagogikk - pedagogikk 1. semester
peda102,Praktisk pedagogikk - pedagogikk 2. semester
peda121,Læraren i klasserommet
peda122,Skulen i samfunnet
peda123,Lærarens profesjonsutvikling
peda130,Innføring i pedagogikk for lektorstudentar
peda131,Læreplan og undervising
peda132,Lærarprofesjonalitet
phdjur-g,Grunnline for rettsvitskapleg metode
phdjur-p,"Perspektivlina: Retts- og vitskapsteori, etikk, rettsleg pluralisme og perspektivfag"
phdmed901,"Journal Club, medisinsk pedagogisk forsking"
phdped900,Universitetspedagogikk for medisin og helsefag - innføringskurs for ph.d.-kandidatar og postdoktorar
phys101,Grunnkurs i mekanikk og varmelære
phys102,"Grunnkurs i elektrisitetslære, optikk og moderne fysikk"
phys109,Innføring i astrofysikk
phys111,Mekanikk 1
phys112,Elektromagnetisme I
phys113,Mekanikk 2 og termodynamikk
phys114,Grunnleggjande målevitskap og eksperimentalfysikk
phys116,Signal- og systemanalyse
phys118,Kvantefysikk
phys119,Moderne fysikk II
phys201,Kvantemekanikk
phys203,Relativistisk kvantemekanikk og feltteori
phys204,Klassisk mekanikk og spesiell relativitetsteori
phys205,Elektromagnetisme II
phys206,Statistisk fysikk og termodynamikk
phys208,Faststoffysikk
phys212,Fysikk i medisinsk diagnostikk
phys213,Medisinsk fysikk i stråleterapi
phys222,Analog integrert kretsteknologi
phys223,Digital integrert kretsteknologi
phys231,Strålingsfysikk
phys232,Eksperimentelle metodar i kjerne- og partikkelfysikk
phys241,Kjerne- og partikkelfysikk
phys244,Innleiing til kvantefeltteori
phys251,Det nære verdensrommet
phys252,Eksperimentelle metodar i romfysikk
phys261,Atomfysikk
phys263,Laboratoriekurs i optikk 
phys264,Atmosfærisk og marin optikk
phys271,Akustikk
phys272,Akustiske transdusere
phys273,Marin akustikk
phys291,Databehandling i fysikk
phys298,Forskningspraksis i fysikk ved CERN
phys299,Bacheloroppgåve i fysikk
phys301,Generell relativitetsteori
phys321,Design av komplekse elektroniske system
phys333,Relativistisk tungionefysikk
phys335,Tungionefysikk ved middels og høge energier
phys341,Utvalde emne i eksperimentell partikkelfysikk
phys342,Kvantefeltteori
phys350,Romplasmafysikk
phys352,Utvalde emne i ionosfærefysikk
phys372,Utvalde emne i ikkelineær akustikk
phys373,Akustiske målesystem
phys374,Teoretisk akustikk
phys391,Datasystem for eksperimentalfysikk
phys399,Masteroppgåve i fysikk
phys399k,Masteroppgåve i fysikk
physdi300,Tilrettelegging for læring i fysikk
physdid220,Tilrettelegging for læring i fysikk
physdid220-p,Tilrettelegging for læring i fysikk
physphd904,Klassisk mekanikk og spesiell relativitetsteori
physphd908,Faststoffysikk
physphd921,Design av komplekse elektroniske system
physphd922,Analog integrert kretsteknologi
physphd923,Digital integrert kretsteknologi
physphd935,Tungionefysikk ved middels og høge energier
physphd941,Kjerne- og partikkelfysikk
physphd952,Eksperimentelle metodar i romfysikk
physphd961,Atomfysikk
physphd963,Laboratoriekurs i optikk 
physphd964,Atmosfærisk og marin optikk
physphd973,Marin akustikk
physphd974,Teoretisk akustikk
physphd991,Datasystem for eksperimentalfysikk
pmhr901,Publishing Mental Health Research
ppudel104,Integrert pedagogikk og realfagsdidaktikk 4
ppupra101,Praksis PPU 1.semester
ppupra102,Praksis PPU 2. semester
praktinf,Praktisk informasjonsarbeid
pram620,Praksisrettleiarutdanning i allmennmedisin
pro201,Materialisert kunnskap
pro202,Malleable Mass
pro212,FORM & Friction
pro213,Im/material Knowledge
pro214,Hammer & Speil - kunstens etiske dilemma
pro215,Exhibition Making
pro217,"JAM - Just a Minute. Music, Art and Design Stop Motion Workshop "
pro218,Stemningar
pro219,Mediert Evidentia
pro221,Forskningsemne: Site & Context
pro222,Forskningsemne: Am I Other
pro224,Who is looking at who? The Colonial Gaze(s)
pro225,Studio/Studio
pro226,Forskingsemne: Globale utfordringar
pro227,Exhibition Thinking
pro228,Form og fridom
pro229,Tingas tilstand
pro230,Parallellar og samanføyingar
pro231,"Ny kunnskap, NÅ"
pro232,Dots and Loops
pro233,"Matter, Meaning and Making"
pro234,Doing Time
pro235,Of Course!
pro301,Materialisert kunnskap
pro302,Malleable Mass
pro312,FORM & Friction
pro313,Im/material Knowledge
pro314,Hammer & Speil - kunstens etiske dilemma
pro315,Exhibition Making
pro317,"JAM - Just a Minute. Music, Art and Design Stop Motion Workshop "
pro318,Stemningar
pro319,Mediert Evidentia 
pro320,Virkelighet & Relasjoner
pro321,Forskningsemne: Site and Context
pro322,Forskningsemne: Am I Other
pro324,Who is looking at who? The Colonial Gaze(s)
pro325,Studio/Studio
pro326,Forskingsemne: Globale utfordringar
pro327,Exhibition Thinking
pro328,Form og fridom
pro329,Tingas tilstand
pro330,Parallellar og samanføyingar
pro331,"Ny kunnskap, NÅ"
pro332,Dots and Loops
pro333,"Matter, Meaning and Making"
pro334,Doing Time
pro335,Of Course!
pro399,Masteroppgåve i prosessteknologi
prog399,Masteroppgåve i Programvareutvikling samarbeid med HVL
propsy311a,Psykologisk kartlegging
propsy311b,Psykologisk behandling
propsy311c,Psykologen som leiar
propsy312b,Psykologisk behandling III
propsy312c,Vitskapsteoretiske perspektiv og etikk i klinisk praksis
propsy315,Samfunnspsykologi
propsy316,Ekstern fordypningspraksis 
propsy317,Hovudoppgåve psykologprogrammet
prpsyk100,Psykologiens og psykologprofesjonen si historie
prpsyk301a,"Profesjonsførebuande I Psykisk helse, behandling og fagetikk"
prpsyk301b,"Profesjonsførebuande 2 - Helse, samfunn og psykologrolle"
prpsyk301c,Profesjonsforberedelse 3 - Kommunikasjon og relasjonskompetanse
prpsyk302,Utviklingspsykologi
prpsyk303,Biologisk psykologi
prpsyk304,Kognitiv nevrovitenskap 
prpsyk305,Kognitiv psykologi
prpsyk306,Klinisk nevropsykologi
prpsyk307,Skule- og opplæringspsykologi
prpsyk308,Personlighetspsykologi 
prpsyk309,Sosialpsykologi
prpsyk310,"Kultur, helse og utvikling"
prpsyk311a,Psykologisk kartlegging
prpsyk311b,Psykologisk behandling
prpsyk311c,Psykologen som leiar
prpsyk312a,Psykologisk behandling II
prpsyk312b,Psykologisk behandling III
prpsyk312c,Vitskapsteoretiske perspektiv og etikk i klinisk praksis
prpsyk313,Psykologisk behandling ved komplekse psykiske tilstandsbilete
prpsyk314,Intern klinisk opplæring
prpsyk315,Samfunnspsykologi
prpsyk316,Ekstern fordjupingspraksis
prpsyk317,Hovudoppgåve
prpsykmet1,Kvalitativ metode som grunnlag for psykologisk kunnskap
prpsykmet2,Kvantitativ metode som grunnlag for psykologisk kunnskap
prpsykvit,Psykologiens vitskapsteori og forskingsmetodar
ps901,"Vitenskapsteori, etikk, metode og forskningsdesign"
ps902,Stipendiatsamling (formidling)
ps914,Scientific and Scholary Publishing
psy200,Kjærleik og nære forhold
psy201,Traumatic Stress: North and South Perspectives
psy205,The Psychology of Social Oppression and Liberation
psy300,Molekylær og cellulær grunnlag for fysiologi og polysomnografi
psy301,"Søvnregulering: nevronale kretsar, farmakologi og fysiologi"
psy303,Global psykologi
psy380,Introduction to Global Mental Health
psy380a,Global Mental Health Practicum
psy380b,Global Mental Health project
psy381,Crisis Psychology and Disaster Response
psych301a,Kvantitativ metode som grunnlag for psykologisk kunnskap
psych302b,"Term Paper, Developmental Psychology"
psych302c,Developmental Psychology
psych303,Medical Health Psychology
psych305a,Cognitive Psychology
psych305b,"Term Paper, Cognitive Psychology"
psych310a,"Culture, Positive Development and Health"
psyk106,Personalpsykologi
psyk109,Motivasjonspsykologi
psyk110,Arbeids- og organisasjonspsykologi
psyk111,Innføring i psykologi og psykologiens historie
psyk112,Sosial- og personlegdomspsykologi
psyk113,Innføring i metode
psyk114,"Utviklings-, kognitiv og biologisk psykologi"
psyk115,"Døgnrytmar, søvn og åtferd"
psyk116,Miljøpsykologi
psyk117,Innføring i operativ psykologi og menneskelege faktorar i operative situasjonar
psyk120,Biologisk og kognitiv psykologi
psyk121,Kognitiv- og utviklingspsykologi
psyk122,Praktisk forskningsmetode
psyk130,Innføring i psykologi
psyk131,"Innføring i psykologiens metode, vitskapsteori og historie"
psyk140,"Åtferd, helse og ernæring"
psyk200,Leiingspsykologi
psyk201,Bacheloroppgave i arbeids- og organisasjonspsykologi
psyk202,Metode
psyk206,Artikkellesning i generell psykologi
psyk207,Læring og atferdspsykologi 
psyk208,Affekt og kognisjon 
psyk210,Empiriske bidrag til grunnleggjande perspektiv i arbeids- og organisasjonspsykologi
psyk250,Bacheloroppgåve i generell psykologi
psyk302g,Fordjupingskurs i kultur og psykopatologi; mental helse i eit krysskulturelt perspektiv
psyk603,Organisasjonspsykologi
psyk604,Operativ psykologi og kriseleiing
psyk640,Operativ psykologi 1
psyk643,Krise og katastrofepsykologi
psyk644,Sosial nettverksstøtte for kriseramma
psyk646,Crisis Psychology and Disaster Response
psyk649,Pandemi og krisepsykologi
psyk649a,Pandemi og krisepsykologi
psyk650,Komplisert sorg: teori og behandling
psyk651,Menneskerettar i helse- og sosialfagleg arbeid
psyk652,Barn som pårørande når foreldre eller søsken er alvorleg sjuke eller døyr
psyk653,"Sorg: forståing, støtte og tiltak"
psyk654,Personelloppfølging etter kritiske hendinger
psyk676,Tverrfaglege teamarbeid i krisepsykologi
psyk678,Vitskapelege forskingsmetodar
psyk680,Masteroppgåve
psyksem,Gruppeleiing og tilbakemelding i seminar
ptek312,Utvalde emne i petroleumsteknologi
ptek350,Eksplosjonsfarar i prosessindustrien
ptek354,Støveksplosjonar i prosessindustrien
ptek399,Masteroppgåve i reservoar og geoenergi
ptek620,"CO2 fangst, -bruk og -lagring (CCUS)"
ptekphd950,Eksplosjonsfarar i prosessindustrien
ptekphd954,Støveksplosjonar i prosessindustrien
qal399b,Master thesis in Quality in the Analytical Laboratory
ras601,Resirkulering i akvakultur (RAS)
realdi100-p,Læring i realfaga
realdi110,Læring i realfaga
realdi200,Realfagsdidaktikk 2
ref100,Refleksjon og kontekst
ref200,Diskurs og posisjon
ref220,Tekstworkshop
ref300,Etikk og ideologi
ref310,Kritisk refleksjon
reldi100-p,"Fagdidaktikk for religionsvitskap 1, lektorutdanning fag 1"
reldi111,Fagdidaktikk for religionsvitskap 1 (for vidaregåande skule) lektorutdanning
reldi112,Fagdidaktikk i religionsvitskap 2 (for grunnskulen) lektorutdanning
reldi300,"Fagdidaktikk for religionsvitskap 2, lektorutdanning fag 1"
reldi313,Fordjuping i religionsvitskapleg fagdidaktikk
relmin636,Christianity in Contemporary China and India
relmin637,The Yezidis
relmin638,Teaching Religion and the Representation of Minorities
relmin639,"Latter Day Saints and Society in the West, c. 1830-1950"
relmin640,Ethno-Religious Minorities in Central and Eastern Europe
relmin641,Buddhism in Contemporary India
relmin642,Dissent and Religious Minorities
relmin643,Religious Minorities in Israel
relmin644,Sami History after 1751
relmin645,Middle Eastern Churches in the 20th and 21th Century
relmin646,Freedom of Religion
relmin647,Multiculturalism
relmin648,"What is a ""religion""?"
relmin649,Discrimination Against Religious Minorities Worldwide
relmin650,Religious Minorities Master's Thesis
relv100,"Religion, kultur og samfunn"
relv101,Kva er religionsvitskap?
relv102,"Kristendommen, jødedommen og islam"
relv103,"Hinduismen, buddhismen og andre asiatiske religionar"
relv103l,Hinduismen og buddhismen - Lektorutdanninga
relv105,"Religionar i oltid, antikken og norrøn tid"
relv202,Spesialiseringsemne
relv202sem,Spesialiseringsemne med semesteroppgåve
relv208,Samisk religion
relv209,"Jødedom, kristendom, islam og modernitetar"
relv210,Utvalde tema i religionsvitskap. Veiledede studier med semesteroppgåve
relv213,Religion og vitskap
relv215,Religionsbyen Bergen: Eit feltkurs
relv221,Nyreligiøsitet
relv222,Religionar i antikken
relv223,Buddhisme og jainisme
relv224,Hinduisme
relv228,Religion and Politics
relv230,Religion og media
relv232,Verdsfilosofiar
relv233,Religion og kunst
relv234,Religion og musikk
relv236,Reformasjonar i Europa
relv237,Religion and the City
relv238,Religion i verdslitteraturar
relv239,"Islam, kjønn og autoritet"
relv240,Kristne under islamsk styre
relv242,Relgion i kontekst: Sør-Asia og Øst-Europa
relv301,Religionsvitskapleg teori
relv302,Spesialiseringsemne
relv302l,Spesialiseringsemne med semesteroppgåve (lektorutdanninga)
relv302sem,Spesialiseringsemne med semesteroppgåve
relv303felt,Religionsvitenskap: Frie studiepoeng (feltarbeid)
relv303munt,Religionsvitenskap: Frie studiepoeng (munnleg)
relv303sem,Religionsvitenskap: Frie studiepoeng (semesteroppgåve)
relv308,Samisk religion
relv309,"Forskingsmetodar, etikk og prosjektdesign "
relv310,Utvalde tema i religionsvitskap. Veiledede studier med semesteroppgåve
relv313,Religion og vitskap
relv315,Religionsbyen Bergen: Eit internasjonalt feltkurs
relv321,Nyreligiøsitet
relv322,Religionar i antikken
relv323,Buddhisme og jainisme
relv324,Hinduisme
relv328,Religion and Politics
relv330,Religion og media
relv332,Verdsfilosofiar
relv333,Religion og kunst
relv334,Religion og musikk
relv336,Reformasjonar i Europa
relv337,Religion and the City
relv338,Religion i verdslitteraturar
relv339,"Islam, kjønn og autoritet"
relv340,Kristne under islamsk styre
relv342,Religion i kontekst: Sør-Asia og Øst-Europa
relv350,Religionsvitskap mastergradsoppgåve
relv360,"Jødar og antisemittisme i det moderne Europa, 1789-1945"
relv363,Religionsvitskap: Frie studiepoeng (munnleg)
relvi250,Bacheloroppgåve i systematisk religionsvitskap
relvi250l,Bacheloroppgåve i systematisk religionsvitskap - Lektorutdanninga
ret102,Klassisk retorikk
ret202,Filosofi og retorikk
ret206,Litteraturvitskapleg retorikk
ret208,Praktisk argumentasjon
ret209,Retorikk og interkulturell kommunikasjon
ret250,Bacheloroppgåve i retorikk 
ret252,Filosofi og retorikk med bacheloroppgåve
rmed901,Datavitenskap med R for medisinske forskere
rmed901a,Datavitskap med R for medisinske forskarar
rus100,Grunnkurs i skriftleg og munnleg russisk
rus120,Russisk språk I
rus121,Russisk historie og kultur
rus130,Russisk språk II
rus131,Russisk litteratur I
rus240,Russisk språk og språkvitskap
rus251,Russisk litteratur II
rus253,Russisk litteratur II
rus301,Russisk språkhistorie og språkstruktur
rus302,Tekst og skriftleg russisk
rus303,"Særemne i russisk språk-, litteratur- eller kulturvitskap"
rus306,Særemne
rus307,Særemne
rus350,Masteroppgåve i russisk
ruspz132,Russisk språk og kultur i Russland
sakdi100,Samfunnskunnskapsdidaktikk 1
sakdi100-p,Samfunnskunnskapsdidaktikk 1
sakdi101,Samfunnskunnskapsdidaktikk 1
sakdi111,Samfunnskunnskapsdidaktikk 2
sakdi300,Samfunnskunnskapsdidaktikk 3
sampol100,Innføring i samanliknande politikk
sampol103,Innføring i politiske ideologiar
sampol105,Stats- og nasjonsbygging
sampol106,Politiske institusjonar i etablerte demokrati
sampol107,Politisk mobilisering
sampol115,Democracy and Democratization
sampol116,Democracy and Democratization
sampol120,Scandinavian Politics and Government
sampol203,Comparative Arctic Indigenous Governance
sampol204,Varieties of Political Regimes: Latin America in Comparative Perspective
sampol205,"Regions, Federalism and EU Integration"
sampol214,Political Economy 
sampol216,Labour Market Policies in Comparative Perspective
sampol223,Democratic Transformations in Europe: Trends and Implications
sampol226,Populism and its Consequences for Liberal Democracy
sampol230,Party Politics in Europe and Beyond
sampol232,Russian Politics
sampol233,Forsvar og totalforsvar i etablerte demokrati
sampol235,The Politics and Global Governance of International Protection
sampol236,The Politics of the Environment
sampol237,Dataanalyse og programmering for samfunnsvitere
sampol238,The Politics of Contestation
sampol260,Bacheloroppgåve i samanliknande politikk
sampol270,American Government and Politics
sampol290,Praksis i samanliknande politikk
sampol291,Praksis i samanliknande politikk - utanbys
sampol305,Multivariat dataanalyse
sampol306,Masterseminar i samanliknande politikk
sampol307,Forskingsdesign og kvalitative metodar 
sampol307-2,Forskingsdesign og kvalitative metodar 
sampol332,Avansert kvantitativ analyse
sampol348,Local and Regional Democracy in Multilevel Norway and Europe
sampol350,Masteroppgåve
sampol351,Globalization and the Geopolitics of Forced Migration
sampol388,Political inequality in democracy
sampol389,Komparativ dommaråtferd
sampol390,Contemporary debates in political economy
sampol601,Observasjon av val og menneskerettsbrot
sampol606,Demokratiassistanse og demokratisering
sampol607,Feltmetodikk: Politisk kartlegging i felt
sampol608,Organisering for samfunnssikkerhet og krisehandtering. Ekstremisme og terrorisme.
sampol609,Korrupsjonsgransking
sampol610,Business and Human Rights 
sampol611,Organisering for samfunnssikkerhet og krisehandtering
sampol612,European Security Transformation
sampol650,Masteroppgave i demokratibygging
sampol904,Panel and Pooled Data Analysis
sampol906,Better Data Visualization (using R)
sampol908,Digital Content Analysis for Social Science
sant100,Invitasjon til sosialantropologi
sant102,Sosialt liv i globalt perspektiv
